"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Change","Sig"
"CCDC39",7.24966666666667,20.5101666666667,0.627434262527339,0.562914232303521,1,-7.7072901637362,"Stable","Stable"
"GTF2IP1",500.225333333333,1887.668,0.627431672942817,0.562915775188587,1,-7.7072920007168,"Stable","Stable"
"PPP2R3B",-17.6666666666667,139.999833333333,-0.627405720563398,0.562931237879299,1,-7.70731041027981,"Stable","Stable"
"GHDC",100.667666666667,362.666833333333,0.627201397155398,0.563052985792764,1,-7.70745532697042,"Stable","Stable"
"KISS1",2,5,0.627123049848866,0.563099674415618,1,-7.70751088454773,"Stable","Stable"
"PTGDR2",1,1.5,0.627122796782475,0.563099825226814,1,-7.70751106399265,"Stable","Stable"
"ARHGEF2-AS2",-1,3.5,-0.627122796782475,0.563099825226814,1,-7.70751106399265,"Stable","Stable"
"GCNT2P1",1,1.5,0.627122796782474,0.563099825226814,1,-7.70751106399265,"Stable","Stable"
"FBXW10",-0.799,1.9795,-0.627036055600693,0.563151518955639,1,-7.70757256710127,"Stable","Stable"
"DM1-AS",-0.999666666666666,2.50016666666667,-0.626874564397328,0.563247768717671,1,-7.70768705231213,"Stable","Stable"
"FBLN2",525.333333333333,605,0.626789816407433,0.563298283461494,1,-7.70774712253763,"Stable","Stable"
"SUFU",73.3336666666669,922.3335,0.626776506113328,0.563306217449021,1,-7.70775655639625,"Stable","Stable"
"ZBTB49",17.6663333333334,130.500166666667,0.626764099365278,0.56331361291916,1,-7.7077653497044,"Stable","Stable"
"GTPBP2",-484.000333333333,2565.99983333333,-0.626456928736816,0.563496733330993,1,-7.70798301152918,"Stable","Stable"
"LYRM9",-28.1030000000001,199.8735,-0.626441387186372,0.563505999519512,1,-7.70799402195823,"Stable","Stable"
"ST6GALNAC6",154.808666666667,1777.14633333333,0.626412090221954,0.563523467243463,1,-7.70801477681038,"Stable","Stable"
"SPEF2",8.66733333333333,40.3333333333333,0.626406261399905,0.563526942604309,1,-7.70801890602757,"Stable","Stable"
"LINC01504",-13.333,22.6685,-0.626392061835778,0.563535408973558,1,-7.70802896505958,"Stable","Stable"
"PARP4",-538.681333333334,4244.24266666667,-0.626247262017419,0.563621749501491,1,-7.70813153108165,"Stable","Stable"
"FAM193A",98.0000000000002,1271.99933333333,0.626244024739204,0.563623679911263,1,-7.70813382391759,"Stable","Stable"
"FARP2",-138.722,1275.88866666667,-0.625911988907149,0.563821698546906,1,-7.70836893956961,"Stable","Stable"
"WDR54",15.6666666666666,305.833666666667,0.625577136111635,0.564021444366416,1,-7.7086059452361,"Stable","Stable"
"AK7",1.66666666666667,6.83333333333333,0.625561060691391,0.56403103484122,1,-7.70861732062255,"Stable","Stable"
"TIGD3",1.66666666666667,3.16666666666667,0.625561060691391,0.56403103484122,1,-7.70861732062255,"Stable","Stable"
"CCDC50",-295.388,6691.30633333333,-0.625503310724936,0.564065488937974,1,-7.70865818400503,"Stable","Stable"
"ENTREP3",78,1118.99966666667,0.625251274212347,0.564215872460358,1,-7.70883648626883,"Stable","Stable"
"GALNT11",138.324666666667,1415.16166666667,0.625180562243937,0.564258069245198,1,-7.70888650047501,"Stable","Stable"
"CD164",-644.665666666669,8467.00083333333,-0.625052176716473,0.56433468765297,1,-7.70897729489763,"Stable","Stable"
"SLC37A2",-34.6666666666667,95.3333333333333,-0.625042591579656,0.56434040818715,1,-7.70898407289923,"Stable","Stable"
"LINC00680",-33.2333333333333,157.138333333333,-0.6248937482702,0.564429244790519,1,-7.70908931439593,"Stable","Stable"
"TNS1",647.666333333333,3394.83283333333,0.624706117764166,0.564541244733787,1,-7.70922195123502,"Stable","Stable"
"STATH",-2.66666666666667,4.33333333333333,-0.624687648457247,0.564552270191533,1,-7.70923500548394,"Stable","Stable"
"VWA3A",-1.33333333333333,2.33333333333333,-0.624687507759357,0.564552354183253,1,-7.70923510492906,"Stable","Stable"
"LINC00106",-0.666666666666667,1.33333333333333,-0.62468694496875,0.564552690149648,1,-7.70923550270872,"Stable","Stable"
"KLHL35",5.333,31.6665,0.624640015140943,0.564580706093525,1,-7.70926867160247,"Stable","Stable"
"TMC8",3.33333333333333,9,0.624397315520364,0.564725606599479,1,-7.70944017296983,"Stable","Stable"
"ANAPC1P2",-39.5779999999999,218.266666666667,-0.624301919829287,0.564782568111277,1,-7.70950756828383,"Stable","Stable"
"ATP5F1D",79.0000000000005,1618.5,0.624268928591858,0.564802268331269,1,-7.7095308740023,"Stable","Stable"
"CHMP4A",-66.2376666666668,1031.0425,-0.624234078256808,0.564823079182714,1,-7.70955549191728,"Stable","Stable"
"ZBTB42",25.0000000000001,201.166666666667,0.624216887022767,0.564833345104179,1,-7.70956763520656,"Stable","Stable"
"ALDH9A1",-95,986.833333333333,-0.624067897409073,0.564922321006639,1,-7.70967286465847,"Stable","Stable"
"SLC26A10P",0.787333333333334,1.27233333333333,0.624004598692434,0.564960125542715,1,-7.70971756542013,"Stable","Stable"
"TRMT112",103.288,1798.97633333333,0.623930875042679,0.565004158400718,1,-7.70976962339551,"Stable","Stable"
"AKR1A1",70.3339999999996,1554.16666666667,0.623922077857406,0.565009412840946,1,-7.70977583495073,"Stable","Stable"
"GRN",1872.33333333334,16722.8343333333,0.623721559153126,0.565129188823318,1,-7.7099173983667,"Stable","Stable"
"MAN2C1",108.958,1976.444,0.6236443582598,0.565175307815384,1,-7.70997189105353,"Stable","Stable"
"IHO1",-13.6666666666667,32.1666666666667,-0.623562925143313,0.565223957819746,1,-7.71002936501103,"Stable","Stable"
"LCOR",-120,1222.66666666667,-0.623548339208363,0.565232672086207,1,-7.71003965883088,"Stable","Stable"
"SLC7A2",577,1113.16666666667,0.623523774087842,0.565247348551444,1,-7.71005699486975,"Stable","Stable"
"GDF6",15.3333333333333,27.6666666666667,0.623087313379069,0.565508155079733,1,-7.71036491835153,"Stable","Stable"
"AUH",-31.6670000000001,212.832833333333,-0.622866955678042,0.565639860083856,1,-7.71052031292308,"Stable","Stable"
"SOHLH2",-3,3.5,-0.622812921771974,0.565672158593153,1,-7.71055841025311,"Stable","Stable"
"PPP1R16B",-2103,10129.5,-0.622587158849043,0.565807120630509,1,-7.71071755773471,"Stable","Stable"
"TACC1",-1980.66566666667,15474.9998333333,-0.62234671280769,0.565950883948706,1,-7.71088700311034,"Stable","Stable"
"HS6ST2",-4,5,-0.622280391442265,0.565990541958774,1,-7.71093373105087,"Stable","Stable"
"CHKA",-143.251,1357.6035,-0.622232390414633,0.566019246162832,1,-7.71096754847899,"Stable","Stable"
"NAIF1",-60.6666666666667,349,-0.622186212374889,0.566046861153059,1,-7.71100007954004,"Stable","Stable"
"VIT",-3.66666666666667,4.83333333333333,-0.622003651552655,0.566156043397929,1,-7.71112866859031,"Stable","Stable"
"EID2",31.0000000000001,486.5,0.621887282978247,0.566225646072702,1,-7.71121061792119,"Stable","Stable"
"OSGIN1",-286,432.666666666667,-0.621868288754305,0.566237007489609,1,-7.7112239928654,"Stable","Stable"
"ZNF814",21.5593333333334,334.033,0.621654128075028,0.566365118475792,1,-7.71137477243541,"Stable","Stable"
"HKDC1",-2.33333333333333,4.16666666666667,-0.62159765218898,0.566398905591597,1,-7.71141452702377,"Stable","Stable"
"DR1",-275.433666666667,2208.28316666667,-0.621368710226442,0.566535885588047,1,-7.71157565343488,"Stable","Stable"
"LRRC41",-140.204666666667,2510.40766666667,-0.621356290111184,0.566543317393104,1,-7.71158439314156,"Stable","Stable"
"SAP30",39.3333333333333,303.666666666667,0.621340592019759,0.566552710728717,1,-7.71159543926564,"Stable","Stable"
"TRNP1",-217,524.833333333333,-0.621293437152929,0.566580927617393,1,-7.71162861887946,"Stable","Stable"
"TNPO3",-177.666666666668,2469.16666666667,-0.62121061883757,0.566630487341385,1,-7.7116868873253,"Stable","Stable"
"CTSS",-149.332000000001,1579.33333333333,-0.62120312245007,0.566634973434991,1,-7.71169216123668,"Stable","Stable"
"SLC2A9",-17.6666666666667,65.1666666666667,-0.621126555090347,0.566680795307685,1,-7.71174602541543,"Stable","Stable"
"POLB",-24,364.333,-0.621042854188768,0.56673088908876,1,-7.71180490163651,"Stable","Stable"
"RBM6",107.294666666666,1796.64733333333,0.621005826493965,0.566753050571695,1,-7.71183094525792,"Stable","Stable"
"SHC4",-6.66666666666667,13,-0.620944423106513,0.566789802448871,1,-7.71187413080373,"Stable","Stable"
"ALDH3A1",-1.66666666666667,5.5,-0.620944312559494,0.566789868616206,1,-7.71187420854923,"Stable","Stable"
"ECE1-AS1",-2.46633333333333,4.5665,-0.620881305831403,0.566827581798669,1,-7.71191851804144,"Stable","Stable"
