"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"ABT1",0.001014961902506,0.378280835231621,0.175,0.091,1
"BCAS2",0.00101718047847248,0.356440410591606,0.392,0.251,1
"GATSL3",0.00102170829294853,0.457371666376705,0.164,0.083,1
"TMEM233",0.0010252861471937,0.4347619764266,0.14,0.067,1
"ANXA2",0.00102860225613159,0.277649693603989,0.819,0.635,1
"WDR77",0.00103461296479369,0.39099903779513,0.117,0.051,1
"MRTO4",0.00104917973954294,0.263148993478992,0.123,0.054,1
"PIGC",0.00104938663083998,0.487095590805954,0.152,0.075,1
"MRPS9",0.00105402248174162,0.590916860399932,0.146,0.071,1
"SFXN1",0.00105450171815846,0.462240640837813,0.105,0.044,1
"LACTB2",0.00105852548241437,0.30340957896049,0.187,0.097,1
"CCL5",0.00106288386639899,-1.18651948789104,0.263,0.365,1
"CUL5",0.00106940579865495,0.30284161672633,0.234,0.131,1
"SERHL2",0.00107269886611171,0.700762646981496,0.205,0.115,1
"ALDH3A2",0.00110105354884548,0.343169898208342,0.158,0.078,1
"RAD50",0.00110938085903786,0.445079923061635,0.152,0.075,1
"SDAD1",0.0011099661214039,0.579382678230612,0.175,0.092,1
"CCNT1",0.0011120041907184,-1.4566777320026,0.205,0.299,1
"ATG5",0.00111389363195186,0.362193711250753,0.187,0.098,1
"SMAD6",0.00111874444633573,-1.65009949904946,0.111,0.21,1
"CCDC66",0.00113693018508664,0.555282353456071,0.164,0.083,1
"POLR3D",0.00114758416753106,0.702162855664199,0.111,0.049,1
"THOC3",0.0011482256339441,0.495484570448326,0.129,0.059,1
"THUMPD1",0.00114990215386941,0.390201698968866,0.246,0.141,1
"BDH2",0.00115279973558624,0.252912778119442,0.263,0.153,1
"TMEM101",0.00115665249947878,0.349676048243289,0.181,0.095,1
"FAHD1",0.00115893280379264,1.12655823033703,0.105,0.046,1
"BCAR1",0.00115897695899638,0.374936358659848,0.187,0.099,1
"ZCCHC9",0.00117977914876992,0.47904807088735,0.158,0.079,1
"RHEB",0.00118846669551843,0.254542863521493,0.608,0.436,1
"GBP3",0.00119877241598412,0.498150594562538,0.211,0.117,1
"IL15RA",0.00119988256712164,0.359929341788628,0.222,0.125,1
"UBE2D4",0.00120699216663436,0.52945487627319,0.105,0.045,1
"PRPF6",0.00122451939844673,0.514134346399428,0.257,0.152,1
"RNF126",0.00122720744600497,0.438230379066761,0.152,0.075,1
"CCDC57",0.0012312112266856,0.471411007388618,0.117,0.052,1
"PHF5A",0.00123559377418334,0.309013814905792,0.24,0.136,1
"SMIM12",0.00124606176260848,0.260373596415104,0.316,0.191,1
"PSMD1",0.0012651114609883,0.300703142394038,0.257,0.148,1
"CYB5B",0.00128442517011183,0.265318503062349,0.345,0.215,1
"UFL1",0.00129304449805031,0.255144029268818,0.24,0.137,1
"SACM1L",0.00131047147984662,0.40665540217684,0.158,0.079,1
"NCKIPSD",0.00132935493077797,0.352632458099667,0.187,0.098,1
"USP5",0.00133283418742131,0.455219144855048,0.105,0.045,1
"ZNF688",0.00134696928101622,0.582896661021403,0.135,0.064,1
"AP3M2",0.00134769273481156,0.525808841117061,0.146,0.072,1
"IER5",0.00135254306181276,-1.01480478028309,0.152,0.254,1
"NRN1",0.00135396492642194,0.348861262840298,0.339,0.221,1
"FAM179B",0.00136205800862342,0.473357021174014,0.14,0.068,1
"FAM204A",0.00136355806033839,0.254197692520565,0.316,0.198,1
"TRIP11",0.00136847939405165,0.537791296236652,0.211,0.119,1
"SNTB1",0.00137156738029237,0.337381577652477,0.228,0.13,1
"COMMD10",0.00137413395576205,0.330743973902071,0.287,0.174,1
"FZR1",0.00137657875350658,0.532750235722713,0.105,0.045,1
"ATP5J2",0.00137770481049027,0.270388881428259,0.708,0.506,1
"BCCIP",0.00139046901643172,0.30212549095,0.181,0.095,1
"HMGB3",0.00139668442003517,0.669921832555039,0.117,0.053,1
"PLEKHA1",0.00140705259379389,0.42688076321587,0.187,0.1,1
"GNAI1",0.00142904293526917,0.360060051575501,0.14,0.067,1
"MACROD1",0.00143143155146934,0.68562685890653,0.105,0.046,1
"TBC1D17",0.0014335423495787,0.394849568730815,0.129,0.06,1
"FRY",0.00144330463099509,0.266399246740202,0.187,0.099,1
"MPZL1",0.00144847817789359,0.289344781102274,0.216,0.121,1
"PTPRC",0.00146424932878923,-1.55531431634255,0.105,0.203,1
"HDHD2",0.00147826920449786,0.444856918616656,0.123,0.056,1
"ARL4D",0.00147927933551805,0.626898584539527,0.205,0.118,1
"FABP5",0.00148558680067353,0.377631276384307,0.257,0.149,1
"PBX3",0.00152526914054275,0.384334134688243,0.117,0.053,1
"SHKBP1",0.00152706320395778,0.529127792184751,0.17,0.089,1
"ILVBL",0.00152878561522861,0.464675245225998,0.263,0.157,1
"TEX30",0.00153417820724531,0.373090083825503,0.17,0.088,1
"ADD1",0.0015592019844199,0.355366540731463,0.322,0.207,1
"YIPF6",0.00157808002139404,0.326151040277034,0.304,0.186,1
