category,subcategory,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
Human Diseases,Cancer: overview,hsa05207,Chemical carcinogenesis - receptor activation,4/116,217/9500,0.018433179723502304,1.509613856666137,0.844307911444498,0.27343306385022703,0.6088500499018551,0.5233507668657638,CACNA1C/ADCY5/MGST2/RPS6KA2,4
Human Diseases,Endocrine and metabolic disease,hsa04950,Maturity onset diabetes of the young,1/116,26/9500,0.038461538461538464,3.1498673740053054,1.220409533762806,0.2737431391334939,0.6088500499018551,0.5233507668657638,FOXA2,1
Organismal Systems,Digestive system,hsa04977,Vitamin digestion and absorption,1/116,26/9500,0.038461538461538464,3.1498673740053054,1.220409533762806,0.2737431391334939,0.6088500499018551,0.5233507668657638,SLC52A3,1
Environmental Information Processing,Signal transduction,hsa04072,Phospholipase D signaling pathway,3/116,149/9500,0.020134228187919462,1.648923860217542,0.8876296230196079,0.2738495857637165,0.6088500499018551,0.5233507668657638,PLCB1/ADCY5/PDGFRA,3
NA,NA,hsa04081,Hormone signaling,4/116,219/9500,0.0182648401826484,1.4958274287513778,0.8253329005170772,0.2788757365752932,0.614062919959059,0.5278316066759092,GNB5/PLCB1/ADCY5/GNAQ,4
Human Diseases,Infectious disease: viral,hsa05166,Human T-cell leukemia virus 1 infection,4/116,224/9500,0.017857142857142856,1.46243842364532,0.7787023586961004,0.29255829850197057,0.63805571768525,0.5484551560889074,CCNA1/JAK3/IL2RB/ADCY5,4
Organismal Systems,Digestive system,hsa04976,Bile secretion,2/116,90/9500,0.022222222222222223,1.8199233716475096,0.8689077041735173,0.30095437569516104,0.6477174618234943,0.5567601257687587,ADCY5/ABCB1,2
Environmental Information Processing,Signal transduction,hsa04010,MAPK signaling pathway,5/116,300/9500,0.016666666666666666,1.3649425287356323,0.7141100244293078,0.304166703998515,0.6477174618234943,0.5567601257687587,CACNA1C/MAP3K9/CACNB4/PDGFRA/RPS6KA2,5
Organismal Systems,Immune system,hsa04662,B cell receptor signaling pathway,2/116,91/9500,0.02197802197802198,1.7999242137173175,0.8524555524533346,0.30547373745387507,0.6477174618234943,0.5567601257687587,CARD11/LYN,2
Organismal Systems,Immune system,hsa04658,Th1 and Th2 cell differentiation,2/116,93/9500,0.021505376344086023,1.7612161661104933,0.8201586017168909,0.3144964660562577,0.654724461153482,0.5627831497848823,JAK3/IL2RB,2
Human Diseases,Cancer: specific types,hsa05222,Small cell lung cancer,2/116,93/9500,0.021505376344086023,1.7612161661104933,0.8201586017168909,0.3144964660562577,0.654724461153482,0.5627831497848823,LAMC1/ITGB1,2
Organismal Systems,Environmental adaptation,hsa04714,Thermogenesis,4/116,235/9500,0.01702127659574468,1.3939838591342626,0.6799290362975196,0.3229542399362711,0.6655384580294537,0.5720785642450371,NDUFA10/ADCY5/COX7B2/RPS6KA2,4
Metabolism,Carbohydrate metabolism,hsa00052,Galactose metabolism,1/116,32/9500,0.03125,2.5592672413793105,0.9822914373882781,0.32550352532444893,0.6655384580294537,0.5720785642450371,HK1,1
Human Diseases,Neurodegenerative disease,hsa05016,Huntington disease,5/116,311/9500,0.01607717041800643,1.316664818716044,0.6312767926221351,0.3306974304915796,0.6684017731223586,0.5745397911922826,NDUFA10/PLCB1/COX7B2/DNAH11/GNAQ,5
Environmental Information Processing,Signal transduction,hsa04630,JAK-STAT signaling pathway,3/116,168/9500,0.017857142857142856,1.46243842364532,0.6723495627826069,0.3373954240521483,0.6684017731223586,0.5745397911922826,JAK3/IL2RB/PDGFRA,3
Human Diseases,Cancer: overview,hsa05231,Choline metabolism in cancer,2/116,99/9500,0.020202020202020204,1.6544757924068272,0.7277766163116699,0.34139919878768066,0.6684017731223586,0.5745397911922826,SLC44A5/PDGFRA,2
Organismal Systems,Environmental adaptation,hsa04710,Circadian rhythm,1/116,34/9500,0.029411764705882353,2.4087221095334685,0.9148617665377569,0.34193072700997196,0.6684017731223586,0.5745397911922826,CRY1,1
Metabolism,Carbohydrate metabolism,hsa00051,Fructose and mannose metabolism,1/116,35/9500,0.02857142857142857,2.3399014778325125,0.8829182992486897,0.349994960653205,0.6684017731223586,0.5745397911922826,HK1,1
Human Diseases,Endocrine and metabolic disease,hsa04933,AGE-RAGE signaling pathway in diabetic complications,2/116,101/9500,0.019801980198019802,1.621713895527484,0.6983680704397258,0.35029870257440077,0.6684017731223586,0.5745397911922826,PRKCE/PLCB1,2
